"Date","Price","Open","High","Low","Vol.","Change %"
"09/05/2025","23,652.44","23,841.98","23,860.25","23,475.33","380.41M","0.08%"
"09/04/2025","23,633.01","23,442.19","23,639.04","23,371.33","315.03M","0.93%"
"09/03/2025","23,414.84","23,388.28","23,478.01","23,279.12","340.99M","0.79%"
"09/02/2025","23,231.11","23,020.47","23,242.28","22,977.88","341.60M","-0.79%"
"08/29/2025","23,415.42","23,607.54","23,607.54","23,353.96","361.28M","-1.22%"
"08/28/2025","23,703.45","23,601.35","23,741.23","23,514.70","308.43M","0.58%"
"08/27/2025","23,565.85","23,499.67","23,591.05","23,434.31","274.24M","0.17%"
"08/26/2025","23,525.29","23,420.85","23,532.51","23,369.04","434.40M","0.43%"
"08/25/2025","23,425.61","23,454.28","23,546.45","23,382.19","294.30M","-0.31%"
"08/22/2025","23,498.12","23,184.99","23,575.36","23,140.04","363.61M","1.54%"
"08/21/2025","23,142.58","23,182.76","23,264.27","23,046.39","250.65M","-0.46%"
"08/20/2025","23,249.57","23,343.41","23,343.41","22,959.70","357.42M","-0.58%"
"08/19/2025","23,384.77","23,689.02","23,695.64","23,346.34","349.45M","-1.39%"
"08/18/2025","23,713.76","23,692.13","23,733.50","23,637.41","277.41M","0.01%"
"08/15/2025","23,712.07","23,809.00","23,813.99","23,651.21","398.33M","-0.51%"
"08/14/2025","23,832.44","23,775.01","23,908.26","23,748.98","335.62M","-0.07%"
"08/13/2025","23,849.04","23,935.06","23,969.28","23,789.12","348.16M","0.04%"
"08/12/2025","23,839.20","23,651.61","23,849.50","23,524.28","339.69M","1.33%"
"08/11/2025","23,526.63","23,629.02","23,698.00","23,484.25","353.40M","-0.36%"
"08/08/2025","23,611.27","23,458.13","23,619.24","23,437.61","348.49M","0.95%"
"08/07/2025","23,389.53","23,483.42","23,560.73","23,225.72","375.75M","0.32%"
"08/06/2025","23,315.04","23,070.95","23,330.49","23,042.27","357.84M","1.29%"
"08/05/2025","23,018.56","23,235.31","23,286.05","23,008.14","337.03M","-0.73%"
